spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta_mc,delta_mc_l_ci,delta_mc_r_ci,theta_mc,theta_mc_l_ci,theta_mc_r_ci,rho_mc,rho_mc_l_ci,rho_mc_r_ci,vega_mc,vega_mc_l_ci,vega_mc_r_ci
1.0592,1.1494,0.1962,0.1405,GEOMETRIC,0.1488,1.5084,0.8731,0.8576,0.8887,-0.0620,0.0471,0.0768,0.3604,0.2739,0.4468,0.0084,-0.1147,0.1316
0.9077,0.9647,0.0942,0.1499,ARITHMETIC,0.0160,1.5937,0.2979,0.2528,0.3431,-0.0247,-0.0164,0.0657,0.1148,-0.3044,0.5339,0.1733,-0.0916,0.4382
1.7747,0.6904,0.1830,0.2389,ARITHMETIC,0.7892,1.7736,0.9395,0.9176,0.9613,-0.0120,-0.0440,0.0681,0.0450,-0.1656,0.2555,0.0007,-0.1622,0.1637
1.0265,0.7962,0.1916,0.5402,ARITHMETIC,0.1689,1.7179,0.6409,0.4219,0.8599,-0.0954,-0.1872,0.3780,0.1522,-1.0180,1.3224,0.1740,-0.2442,0.5923
1.2627,1.3835,0.1671,0.3129,ARITHMETIC,0.3489,1.7654,0.8591,0.7676,0.9507,-0.0451,-0.0391,0.1292,0.3135,-0.3796,1.0066,0.0648,-0.3101,0.4397
1.5524,1.0536,0.0366,0.0759,ARITHMETIC,0.5611,1.6692,0.9810,0.9775,0.9844,-0.0075,0.0025,0.0126,0.2166,0.0711,0.3621,0.0003,-0.0706,0.0712
0.5245,0.9423,0.0827,0.3828,ARITHMETIC,0.0005,1.5679,0.0056,-0.0103,0.0216,-0.0012,-0.0075,0.0099,0.0013,-0.0964,0.0991,0.0052,-0.0164,0.0269
1.0116,1.0935,0.0715,0.4209,ARITHMETIC,0.1340,1.6650,0.6021,0.3997,0.8045,-0.0568,-0.1303,0.2439,0.2121,-2.6396,3.0639,0.2239,-0.2639,0.7116
0.9627,1.2447,0.1979,0.3432,ARITHMETIC,0.1241,1.7194,0.6129,0.4582,0.7676,-0.0662,-0.0537,0.1862,0.2453,-0.5063,0.9970,0.1988,-0.2381,0.6357
0.8804,1.3643,0.1593,0.5075,ARITHMETIC,0.1221,1.7317,0.4901,0.2058,0.7743,-0.0609,-0.1218,0.2435,0.1767,-1.3825,1.7359,0.2170,-0.2759,0.7099
1.3558,1.4835,0.1296,0.4045,GEOMETRIC,0.4100,1.6069,0.8306,0.6900,0.9713,-0.0219,-0.1074,0.1512,0.2485,-1.2239,1.7209,0.0025,-0.4749,0.4798
1.7874,0.5516,0.1969,0.2920,GEOMETRIC,0.7921,1.5930,0.9435,0.9228,0.9642,0.0013,-0.0683,0.0657,0.0296,-0.1572,0.2164,-0.0451,-0.1723,0.0822
1.2770,1.0831,0.0632,0.4500,GEOMETRIC,0.3195,1.5311,0.8218,0.6606,0.9831,-0.0297,-0.1617,0.2211,0.2368,-3.0281,3.5018,0.0772,-0.3858,0.5402
