spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.5000,1.5000,0.1200,0.0899,ARITHMETIC,0.5374,0.5373,0.5376
1.5000,1.5000,0.1200,0.1185,ARITHMETIC,0.5374,0.5372,0.5377
1.5000,1.5000,0.1200,0.1847,ARITHMETIC,0.5375,0.5368,0.5381
1.5000,1.5000,0.1200,0.4387,ARITHMETIC,0.5445,0.5400,0.5489
1.5000,1.5000,0.1200,0.1648,ARITHMETIC,0.5373,0.5368,0.5379
1.5000,1.5000,0.1200,0.2609,ARITHMETIC,0.5374,0.5361,0.5387
1.5000,1.5000,0.1200,0.2791,ARITHMETIC,0.5378,0.5363,0.5394
1.5000,1.5000,0.1200,0.2048,ARITHMETIC,0.5372,0.5364,0.5379
1.5000,1.5000,0.1200,0.1385,ARITHMETIC,0.5375,0.5372,0.5379
1.5000,1.5000,0.1200,0.1840,ARITHMETIC,0.5382,0.5375,0.5389
1.5000,1.5000,0.1200,0.4762,ARITHMETIC,0.5465,0.5415,0.5515
1.5000,1.5000,0.1200,0.5470,ARITHMETIC,0.5473,0.5410,0.5536
1.5000,1.5000,0.1200,0.2353,ARITHMETIC,0.5370,0.5359,0.5381
1.5000,1.5000,0.1200,0.2809,ARITHMETIC,0.5388,0.5372,0.5404
1.5000,1.5000,0.1200,0.2175,ARITHMETIC,0.5377,0.5368,0.5386
1.5000,1.5000,0.1200,0.2327,ARITHMETIC,0.5374,0.5364,0.5384
1.5000,1.5000,0.1200,0.3936,ARITHMETIC,0.5443,0.5409,0.5477
1.5000,1.5000,0.1200,0.4177,ARITHMETIC,0.5443,0.5404,0.5482
1.5000,1.5000,0.1200,0.2085,ARITHMETIC,0.5372,0.5364,0.5380
1.5000,1.5000,0.1200,0.1225,ARITHMETIC,0.5375,0.5372,0.5377
1.5000,1.5000,0.1200,0.4038,ARITHMETIC,0.5434,0.5398,0.5469
1.5000,1.5000,0.1200,0.2697,ARITHMETIC,0.5382,0.5368,0.5397
1.5000,1.5000,0.1200,0.5081,ARITHMETIC,0.5499,0.5442,0.5556
1.5000,1.5000,0.1200,0.2547,ARITHMETIC,0.5387,0.5374,0.5400
1.5000,1.5000,0.1200,0.0639,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.4131,ARITHMETIC,0.5394,0.5358,0.5429
1.5000,1.5000,0.1200,0.5429,ARITHMETIC,0.5538,0.5471,0.5604
1.5000,1.5000,0.1200,0.2832,ARITHMETIC,0.5375,0.5360,0.5391
1.5000,1.5000,0.1200,0.5263,ARITHMETIC,0.5526,0.5464,0.5589
1.5000,1.5000,0.1200,0.1313,ARITHMETIC,0.5375,0.5372,0.5379
1.5000,1.5000,0.1200,0.1564,ARITHMETIC,0.5378,0.5373,0.5383
1.5000,1.5000,0.1200,0.2208,ARITHMETIC,0.5375,0.5366,0.5385
1.5000,1.5000,0.1200,0.2530,ARITHMETIC,0.5374,0.5361,0.5387
1.5000,1.5000,0.1200,0.4997,ARITHMETIC,0.5460,0.5407,0.5512
1.5000,1.5000,0.1200,0.5363,ARITHMETIC,0.5573,0.5502,0.5644
1.5000,1.5000,0.1200,0.3051,ARITHMETIC,0.5369,0.5351,0.5386
1.5000,1.5000,0.1200,0.3984,ARITHMETIC,0.5445,0.5409,0.5482
1.5000,1.5000,0.1200,0.3638,ARITHMETIC,0.5429,0.5399,0.5459
1.5000,1.5000,0.1200,0.4803,ARITHMETIC,0.5464,0.5412,0.5517
1.5000,1.5000,0.1200,0.1039,ARITHMETIC,0.5375,0.5373,0.5377
1.5000,1.5000,0.1200,0.3308,ARITHMETIC,0.5378,0.5355,0.5400
1.5000,1.5000,0.1200,0.4542,ARITHMETIC,0.5486,0.5439,0.5533
1.5000,1.5000,0.1200,0.4371,ARITHMETIC,0.5399,0.5360,0.5439
1.5000,1.5000,0.1200,0.4337,ARITHMETIC,0.5398,0.5358,0.5438
1.5000,1.5000,0.1200,0.5406,ARITHMETIC,0.5572,0.5503,0.5640
1.5000,1.5000,0.1200,0.0642,ARITHMETIC,0.5374,0.5374,0.5375
1.5000,1.5000,0.1200,0.1030,ARITHMETIC,0.5377,0.5375,0.5380
1.5000,1.5000,0.1200,0.1267,ARITHMETIC,0.5375,0.5372,0.5378
1.5000,1.5000,0.1200,0.3404,ARITHMETIC,0.5387,0.5363,0.5411
1.5000,1.5000,0.1200,0.2654,ARITHMETIC,0.5375,0.5361,0.5389
1.5000,1.5000,0.1200,0.0821,ARITHMETIC,0.5374,0.5373,0.5375
1.5000,1.5000,0.1200,0.1896,ARITHMETIC,0.5381,0.5374,0.5388
1.5000,1.5000,0.1200,0.2454,ARITHMETIC,0.5367,0.5355,0.5378
1.5000,1.5000,0.1200,0.3029,ARITHMETIC,0.5376,0.5357,0.5395
1.5000,1.5000,0.1200,0.4279,ARITHMETIC,0.5424,0.5384,0.5463
1.5000,1.5000,0.1200,0.2945,ARITHMETIC,0.5390,0.5372,0.5408
1.5000,1.5000,0.1200,0.4629,ARITHMETIC,0.5462,0.5415,0.5509
1.5000,1.5000,0.1200,0.3202,ARITHMETIC,0.5391,0.5370,0.5413
1.5000,1.5000,0.1200,0.2286,ARITHMETIC,0.5378,0.5368,0.5388
1.5000,1.5000,0.1200,0.4530,ARITHMETIC,0.5460,0.5413,0.5507
1.5000,1.5000,0.1200,0.1432,ARITHMETIC,0.5375,0.5371,0.5379
1.5000,1.5000,0.1200,0.4946,ARITHMETIC,0.5474,0.5421,0.5528
1.5000,1.5000,0.1200,0.3867,ARITHMETIC,0.5421,0.5388,0.5453
1.5000,1.5000,0.1200,0.5267,ARITHMETIC,0.5478,0.5418,0.5537
1.5000,1.5000,0.1200,0.1549,ARITHMETIC,0.5378,0.5373,0.5382
1.5000,1.5000,0.1200,0.1664,ARITHMETIC,0.5373,0.5368,0.5379
1.5000,1.5000,0.1200,0.2783,ARITHMETIC,0.5383,0.5368,0.5398
1.5000,1.5000,0.1200,0.1244,ARITHMETIC,0.5377,0.5374,0.5379
1.5000,1.5000,0.1200,0.0699,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.2260,ARITHMETIC,0.5374,0.5364,0.5384
1.5000,1.5000,0.1200,0.4255,ARITHMETIC,0.5427,0.5387,0.5467
1.5000,1.5000,0.1200,0.4945,ARITHMETIC,0.5449,0.5397,0.5501
1.5000,1.5000,0.1200,0.1667,ARITHMETIC,0.5377,0.5371,0.5382
1.5000,1.5000,0.1200,0.5222,ARITHMETIC,0.5479,0.5419,0.5539
1.5000,1.5000,0.1200,0.0896,ARITHMETIC,0.5375,0.5373,0.5377
1.5000,1.5000,0.1200,0.0891,ARITHMETIC,0.5375,0.5373,0.5376
1.5000,1.5000,0.1200,0.4027,ARITHMETIC,0.5416,0.5381,0.5450
1.5000,1.5000,0.1200,0.0839,ARITHMETIC,0.5374,0.5373,0.5376
1.5000,1.5000,0.1200,0.5353,ARITHMETIC,0.5539,0.5475,0.5602
1.5000,1.5000,0.1200,0.1871,ARITHMETIC,0.5380,0.5373,0.5387
1.5000,1.5000,0.1200,0.1144,ARITHMETIC,0.5375,0.5373,0.5378
1.5000,1.5000,0.1200,0.4342,ARITHMETIC,0.5436,0.5393,0.5478
1.5000,1.5000,0.1200,0.2612,ARITHMETIC,0.5379,0.5366,0.5392
1.5000,1.5000,0.1200,0.5000,ARITHMETIC,0.5458,0.5404,0.5512
1.5000,1.5000,0.1200,0.2962,ARITHMETIC,0.5388,0.5369,0.5406
1.5000,1.5000,0.1200,0.0540,ARITHMETIC,0.5375,0.5374,0.5375
1.5000,1.5000,0.1200,0.1317,ARITHMETIC,0.5373,0.5370,0.5377
1.5000,1.5000,0.1200,0.0997,ARITHMETIC,0.5374,0.5372,0.5376
1.5000,1.5000,0.1200,0.1407,ARITHMETIC,0.5375,0.5371,0.5378
1.5000,1.5000,0.1200,0.1853,ARITHMETIC,0.5374,0.5367,0.5380
1.5000,1.5000,0.1200,0.0877,ARITHMETIC,0.5375,0.5374,0.5377
1.5000,1.5000,0.1200,0.4895,ARITHMETIC,0.5477,0.5422,0.5532
1.5000,1.5000,0.1200,0.3866,ARITHMETIC,0.5425,0.5392,0.5458
1.5000,1.5000,0.1200,0.2720,ARITHMETIC,0.5378,0.5363,0.5392
1.5000,1.5000,0.1200,0.4994,ARITHMETIC,0.5467,0.5411,0.5523
1.5000,1.5000,0.1200,0.3558,ARITHMETIC,0.5403,0.5376,0.5430
1.5000,1.5000,0.1200,0.3909,ARITHMETIC,0.5420,0.5387,0.5454
1.5000,1.5000,0.1200,0.4063,ARITHMETIC,0.5436,0.5400,0.5471
1.5000,1.5000,0.1200,0.2697,ARITHMETIC,0.5381,0.5366,0.5395
1.5000,1.5000,0.1200,0.1966,ARITHMETIC,0.5376,0.5368,0.5383
1.5000,1.5000,0.1200,0.4934,ARITHMETIC,0.5503,0.5448,0.5559
1.5000,1.5000,0.1200,0.2345,ARITHMETIC,0.5382,0.5371,0.5393
1.5000,1.5000,0.1200,0.2684,ARITHMETIC,0.5371,0.5357,0.5385
1.5000,1.5000,0.1200,0.1881,ARITHMETIC,0.5374,0.5367,0.5381
1.5000,1.5000,0.1200,0.3268,ARITHMETIC,0.5384,0.5363,0.5406
1.5000,1.5000,0.1200,0.3191,ARITHMETIC,0.5354,0.5335,0.5373
1.5000,1.5000,0.1200,0.2659,ARITHMETIC,0.5378,0.5364,0.5393
1.5000,1.5000,0.1200,0.2266,ARITHMETIC,0.5371,0.5361,0.5381
1.5000,1.5000,0.1200,0.3209,ARITHMETIC,0.5362,0.5342,0.5382
1.5000,1.5000,0.1200,0.2410,ARITHMETIC,0.5377,0.5366,0.5388
